Username,Repo Name,Repo Link,Star
mrdoob,three.js,https://github.com/mrdoob/three.js,95500
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,24400
libgdx,libgdx,https://github.com/libgdx/libgdx,22200
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,21600
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,18200
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,16300
aframevr,aframe,https://github.com/aframevr/aframe,15800
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,15600
CesiumGS,cesium,https://github.com/CesiumGS/cesium,11200
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,10200
